System Name	Previous Task	Previous Task Status	Next Task Name	TAT	Tat Type	Doer Name	Email
Order Tracker			Customer Registration	1	Hour	Jitendra	jatin@muxro.com
Order Tracker	Customer Registration	Regular	Choose Box	1	Day	Kamal	jatin@muxro.com
Order Tracker	Customer Registration	Wedding	Get All details of Customisation and take Approval	1	T-2	Rohit	jatin@muxro.com
Order Tracker	Choose Box	Done	Choose Sweets	1	Specify	Ajay	jatin@muxro.com
Order Tracker	Choose Sweets	Done	Any Basic Customisation	1	Hour	Mohit	jatin@muxro.com
Order Tracker	Any Basic Customisation	Yes	Get All details of Customisation	1	Day	Kashsis	jatin@muxro.com
Order Tracker	Any Basic Customisation	No	Create Order for Sweets	1	Hour	Jitendra	jatin@muxro.com
Order Tracker	Get All details of Customisation	Done	Create Order for Sweets	1	Day	Mohit	jatin@muxro.com
Order Tracker	Create Order for Sweets	Done	Check Sweet Availablity in Store	1	Hour	Kamal	jatin@muxro.com
Order Tracker	Check Sweet Availablity in Store	No	Prepare BOM of Sweets	1	Day	Rohit	jatin@muxro.com
Order Tracker	Check Sweet Availablity in Store	Yes	Execute Filling in Store	1	Hour	Ajay	jatin@muxro.com
Order Tracker	Prepare BOM of Sweets	Done	Check RM in Store	1	Day	Mohit	jatin@muxro.com
Order Tracker	Check RM in Store	Yes	Plan for Production	1	Hour	Kashsis	jatin@muxro.com
Order Tracker	Check RM in Store	No	Raise Indent	1	Day	Jitendra	jatin@muxro.com
Order Tracker	Plan for Production	Done	Execute Production	1	Hour	Mohit	jatin@muxro.com
Order Tracker	Execute Production	Done	Get Sweet and box from Production and Store	1	Day	Kamal	jatin@muxro.com
Order Tracker	Raise Indent	Done	Choose Vendor	1	Hour	Rohit	jatin@muxro.com
Order Tracker	Choose Vendor	Done	Generate PO	1	Day	Ajay	jatin@muxro.com
Order Tracker	Generate PO	Done	Received Material	1	Hour	Jitendra	jatin@muxro.com
Order Tracker	Received Material	Done	Plan for Production	1	Day	Kamal	jatin@muxro.com
Order Tracker	Get Sweet and box from Production and Store	Done	Take Approval from Head	1	Hour	Rohit	jatin@muxro.com
Order Tracker	Take Approval from Head	Yes	Execute Demo filling	1	Day	Ajay	jatin@muxro.com
Order Tracker	Take Approval from Head	No	Get Sweet and box from Production and Store(2)	1	Hour	Mohit	jatin@muxro.com
Order Tracker	Get Sweet and box from Production and Store(2)	Done	Take Approval from Head(2)	1	Day	Kashsis	jatin@muxro.com
Order Tracker	Take Approval from Head(2)	Yes	Execute Demo filling	1	Hour	Jitendra	jatin@muxro.com
Order Tracker	Execute Demo filling	Done	Take Approval from Sales Person	1	Day	Mohit	jatin@muxro.com
Order Tracker	Take Approval from Sales Person	Yes	Execute to Filling in Unit	1	Hour	Kamal	jatin@muxro.com
Order Tracker	Take Approval from Sales Person	No	Execute Demo filling(2)	1	Day	Rohit	jatin@muxro.com
Order Tracker	Execute Demo filling(2)	Done	Take Approval from Sales Person(2)	1	Hour	Ajay	jatin@muxro.com
Order Tracker	Take Approval from Sales Person(2)	Yes	Execute to Filling in Unit	1	Day	Mohit	jatin@muxro.com
Order Tracker	Execute Filling in Store	Done	Final Dispatch	1	Hour	Kashsis	jatin@muxro.com
Order Tracker	Execute to Filling in Unit	Done	Dispatch to Store	1	Day	Jitendra	jatin@muxro.com
Order Tracker	Dispatch to Store	Done	Final Dispatch	1	Hour	Mohit	jatin@muxro.com
Order Tracker	Get All details of Customisation and take Approval	Done	Explain Timeline to Customer according to Production/Vendor	1	Day	Kamal	jatin@muxro.com
Order Tracker	Explain Timeline to Customer according to Production/Vendor	Done	Customer Box Order Punch	1	Hour	Rohit	jatin@muxro.com
Order Tracker	Customer Box Order Punch	Done	Choose Box Design	1	Day	Ajay	jatin@muxro.com
Order Tracker	Choose Box Design	Done	Explain to Vendor and get Quotation	1	Hour	Jitendra	jatin@muxro.com
Order Tracker	Explain to Vendor and get Quotation	Done	Received Quotation from Vendor	1	Day	Kamal	jatin@muxro.com
Order Tracker	Need Demo?	Yes	Raise PO for Demo	1	Hour	Ajay	jatin@muxro.com
Order Tracker	Need Demo?	No	Raise PO for Boxes	1	Day	Mohit	jatin@muxro.com
Order Tracker	Raise PO for Demo	Done	Received Demo Boxes	1	Hour	Kashsis	jatin@muxro.com
Order Tracker	Received Demo Boxes	Done	Customer Approval for Demo	1	Day	Jitendra	jatin@muxro.com
Order Tracker	Customer Approval for Demo	Yes	Raise PO for Boxes	1	Hour	Mohit	jatin@muxro.com
Order Tracker	Customer Approval for Demo	No	Get All details of Customisation of final box	1	Day	Kamal	jatin@muxro.com
Order Tracker	Get All details of Customisation of final box	Done	Need Demo?(2)	1	Hour	Rohit	jatin@muxro.com
Order Tracker	Need Demo?(2)	Yes	Raise PO for Demo(2)	1	Day	Ajay	jatin@muxro.com
Order Tracker	Need Demo?(2)	No	Raise PO for Boxes	1	Hour	Mohit	jatin@muxro.com
Order Tracker	Raise PO for Demo(2)	Done	Received Demo Boxes(2)	1	Day	Kashsis	jatin@muxro.com
Order Tracker	Received Demo Boxes(2)	Done	Customer Approval for Demo(2)	1	Hour	Jitendra	jatin@muxro.com
Order Tracker	Customer Approval for Demo(2)	Yes	Raise PO for Boxes	1	Day	Mohit	jatin@muxro.com
Order Tracker	Raise PO for Boxes	Done	Received Boxes	1	Hour	Kamal	jatin@muxro.com
Order Tracker	Received Boxes	Done	Store Boxes	1	Day	Rohit	jatin@muxro.com
Order Tracker	Store Boxes	Done	Create Order for Sweets	1	Hour	Ajay	jatin@muxro.com
Order Tracker	Final Dispatch	Done		1	Day	Jitendra	jatin@muxro.com
Order Tracker	Received Quotation from Vendor	Done	Explain the costing to customer	1	Hour	Rohit	jatin@muxro.com
Order Tracker	Explain the costing to customer	Done	Get Customer Approval for the Box	1	Day	Ajay	jatin@muxro.com
Order Tracker	Get Customer Approval for the Box	Approved	Need Demo?	1	Hour	Mohit	jatin@muxro.com
Order Tracker	Get Customer Approval for the Box	Decline	Any other Customisation	1	Day	Kashsis	jatin@muxro.com
Order Tracker	Any other Customisation	Done	Get Customer Approval for the Box	1	Hour	Mohit	jatin@muxro.com
Purchase			Raise Indent	1	Day	Kashsis	jatin@muxro.com
Purchase	Raise Indent	Done	choose Vendor and take rate	1	Hour	Mohit	jatin@muxro.com
Purchase	choose Vendor and take rate	Done	take approval from MD	1	Day	Kashsis	jatin@muxro.com
Purchase	take approval from MD	Approved	Generate PO	1	Hour	Mohit	jatin@muxro.com
Purchase	take approval from MD	Decline		1	Day	Kashsis	jatin@muxro.com
Purchase	Generate PO	Done	Followup	1	Hour	Mohit	jatin@muxro.com
Purchase	Followup	Done	Followup 2 days before of tat	1	Day	Kashsis	jatin@muxro.com
Purchase	Followup 2 days before of tat	Done	Received Material	1	Hour	Mohit	jatin@muxro.com
Purchase	Received Material	Done	Store Material	1	Day	Kashsis	jatin@muxro.com
Purchase	Store Material	Done	Quality check	1	Hour	Mohit	jatin@muxro.com
Purchase	Quality check	Done	Schedule Dispatch	1	Day	Kashsis	jatin@muxro.com
Purchase	Schedule Dispatch	Done		1	Hour	Mohit	jatin@muxro.com
